"Year","Entity","launches"
1960,"China",0
1960,"Japan",0
1960,"Russia",3
1960,"United Kingdom",0
1960,"United States",17
1961,"China",0
1961,"Japan",0
1961,"Russia",7
1961,"United Kingdom",0
1961,"United States",31
1962,"China",0
1962,"Japan",0
1962,"Russia",20
1962,"United Kingdom",1
1962,"United States",55
1963,"China",0
1963,"Japan",0
1963,"Russia",17
1963,"United Kingdom",0
1963,"United States",54
1964,"China",0
1964,"Japan",0
1964,"Russia",35
1964,"United Kingdom",1
1964,"United States",71
1965,"China",0
1965,"Japan",0
1965,"Russia",64
1965,"United Kingdom",0
1965,"United States",96
1966,"China",0
1966,"Japan",0
1966,"Russia",44
1966,"United Kingdom",0
1966,"United States",99
1967,"China",0
1967,"Japan",0
1967,"Russia",66
1967,"United Kingdom",1
1967,"United States",85
1968,"China",0
1968,"Japan",0
1968,"Russia",74
1968,"United Kingdom",0
1968,"United States",61
1969,"China",0
1969,"Japan",0
1969,"Russia",70
1969,"United Kingdom",2
1969,"United States",62
1970,"China",1
1970,"Japan",1
1970,"Russia",88
1970,"United Kingdom",1
1970,"United States",31
1971,"China",1
1971,"Japan",2
1971,"Russia",98
1971,"United Kingdom",2
1971,"United States",46
1972,"China",0
1972,"Japan",1
1972,"Russia",88
1972,"United Kingdom",0
1972,"United States",37
1973,"China",0
1973,"Japan",0
1973,"Russia",109
1973,"United Kingdom",0
1973,"United States",28
1974,"China",1
1974,"Japan",1
1974,"Russia",95
1974,"United Kingdom",4
1974,"United States",19
1975,"China",3
1975,"Japan",2
1975,"Russia",111
1975,"United Kingdom",0
1975,"United States",30
1976,"China",2
1976,"Japan",1
1976,"Russia",121
1976,"United Kingdom",0
1976,"United States",26
1977,"China",0
1977,"Japan",4
1977,"Russia",104
1977,"United Kingdom",0
1977,"United States",24
1978,"China",1
1978,"Japan",4
1978,"Russia",119
1978,"United Kingdom",0
1978,"United States",35
1979,"China",0
1979,"Japan",2
1979,"Russia",101
1979,"United Kingdom",2
1979,"United States",19
1980,"China",0
1980,"Japan",2
1980,"Russia",110
1980,"United Kingdom",0
1980,"United States",16
1981,"China",3
1981,"Japan",3
1981,"Russia",124
1981,"United Kingdom",2
1981,"United States",20
1982,"China",1
1982,"Japan",1
1982,"Russia",119
1982,"United Kingdom",0
1982,"United States",20
1983,"China",1
1983,"Japan",3
1983,"Russia",116
1983,"United Kingdom",0
1983,"United States",25
1984,"China",3
1984,"Japan",3
1984,"Russia",115
1984,"United Kingdom",2
1984,"United States",31
1985,"China",1
1985,"Japan",2
1985,"Russia",119
1985,"United Kingdom",0
1985,"United States",30
1986,"China",2
1986,"Japan",4
1986,"Russia",114
1986,"United Kingdom",0
1986,"United States",11
1987,"China",2
1987,"Japan",3
1987,"Russia",116
1987,"United Kingdom",0
1987,"United States",10
1988,"China",4
1988,"Japan",2
1988,"Russia",109
1988,"United Kingdom",1
1988,"United States",19
1989,"China",0
1989,"Japan",4
1989,"Russia",99
1989,"United Kingdom",2
1989,"United States",25
1990,"China",6
1990,"Japan",7
1990,"Russia",96
1990,"United Kingdom",5
1990,"United States",40
1991,"China",1
1991,"Japan",2
1991,"Russia",83
1991,"United Kingdom",1
1991,"United States",30
1992,"China",2
1992,"Japan",4
1992,"Russia",78
1992,"United Kingdom",0
1992,"United States",28
1993,"China",1
1993,"Japan",1
1993,"Russia",59
1993,"United Kingdom",0
1993,"United States",31
1994,"China",5
1994,"Japan",4
1994,"Russia",64
1994,"United Kingdom",2
1994,"United States",35
1995,"China",1
1995,"Japan",4
1995,"Russia",36
1995,"United Kingdom",0
1995,"United States",40
1996,"China",3
1996,"Japan",3
1996,"Russia",28
1996,"United Kingdom",0
1996,"United States",41
1997,"China",7
1997,"Japan",7
1997,"Russia",28
1997,"United Kingdom",0
1997,"United States",88
1998,"China",10
1998,"Japan",3
1998,"Russia",27
1998,"United Kingdom",1
1998,"United States",91
1999,"China",11
1999,"Japan",1
1999,"Russia",15
1999,"United Kingdom",2
1999,"United States",80
2000,"China",6
2000,"Japan",3
2000,"Russia",23
2000,"United Kingdom",4
2000,"United States",56
2001,"China",2
2001,"Japan",4
2001,"Russia",30
2001,"United Kingdom",1
2001,"United States",34
2002,"China",7
2002,"Japan",10
2002,"Russia",19
2002,"United Kingdom",0
2002,"United States",33
2003,"China",9
2003,"Japan",7
2003,"Russia",22
2003,"United Kingdom",1
2003,"United States",28
2004,"China",11
2004,"Japan",2
2004,"Russia",19
2004,"United Kingdom",0
2004,"United States",21
2005,"China",7
2005,"Japan",5
2005,"Russia",19
2005,"United Kingdom",3
2005,"United States",21
2006,"China",13
2006,"Japan",11
2006,"Russia",16
2006,"United Kingdom",0
2006,"United States",36
2007,"China",10
2007,"Japan",6
2007,"Russia",18
2007,"United Kingdom",2
2007,"United States",46
2008,"China",17
2008,"Japan",6
2008,"Russia",21
2008,"United Kingdom",3
2008,"United States",24
2009,"China",8
2009,"Japan",12
2009,"Russia",30
2009,"United Kingdom",3
2009,"United States",38
2010,"China",20
2010,"Japan",9
2010,"Russia",24
2010,"United Kingdom",3
2010,"United States",35
2011,"China",20
2011,"Japan",4
2011,"Russia",24
2011,"United Kingdom",2
2011,"United States",29
2012,"China",26
2012,"Japan",9
2012,"Russia",23
2012,"United Kingdom",4
2012,"United States",33
2013,"China",19
2013,"Japan",5
2013,"Russia",29
2013,"United Kingdom",7
2013,"United States",80
2014,"China",25
2014,"Japan",24
2014,"Russia",35
2014,"United Kingdom",10
2014,"United States",95
2015,"China",38
2015,"Japan",4
2015,"Russia",27
2015,"United Kingdom",7
2015,"United States",104
2016,"China",38
2016,"Japan",11
2016,"Russia",14
2016,"United Kingdom",1
2016,"United States",105
2017,"China",32
2017,"Japan",16
2017,"Russia",25
2017,"United Kingdom",7
2017,"United States",286
2018,"China",95
2018,"Japan",19
2018,"Russia",23
2018,"United Kingdom",12
2018,"United States",190
2019,"China",82
2019,"Japan",21
2019,"Russia",30
2019,"United Kingdom",14
2019,"United States",362
2020,"China",73
2020,"Japan",9
2020,"Russia",24
2020,"United Kingdom",104
2020,"United States",984
1957,"Russia",2
1958,"Russia",1
1958,"United States",7
1959,"Russia",3
1959,"United States",11
2021,"China",110
2021,"Japan",24
2021,"Russia",21
2021,"United Kingdom",289
2021,"United States",1232
2022,"China",182
2022,"Japan",12
2022,"Russia",50
2022,"United Kingdom",112
2022,"United States",1939
2023,"China",128
2023,"Japan",11
2023,"Russia",62
2023,"United Kingdom",144
2023,"United States",2166
